unit,support_width,locality_index,left_boundary,right_boundary,module,model
29,499,0.9407717268510591,0,498,baseline_features_6,Baseline
30,500,0.9114886035688055,0,499,baseline_features_6,Baseline
31,500,0.955212398855213,0,499,baseline_features_6,Baseline
32,499,0.8809810753596812,0,498,baseline_features_6,Baseline
33,497,0.7559771380536587,0,496,baseline_features_6,Baseline
34,499,0.7507471659403727,1,499,baseline_features_6,Baseline
35,497,0.7769091483167215,0,496,baseline_features_6,Baseline
36,499,0.8198988592901063,1,499,baseline_features_6,Baseline
37,499,0.9240940211742815,1,499,baseline_features_6,Baseline
38,500,0.992764656743866,0,499,baseline_features_6,Baseline
39,500,0.8032832787921204,0,499,baseline_features_6,Baseline
40,500,0.8697855628584568,0,499,baseline_features_6,Baseline
41,499,0.9321465133151462,0,498,baseline_features_6,Baseline
42,500,0.9683144495747933,0,499,baseline_features_6,Baseline
43,499,0.958623243254898,0,498,baseline_features_6,Baseline
44,496,0.7516106420975628,1,496,baseline_features_6,Baseline
45,497,0.5074304189204352,1,497,baseline_features_6,Baseline
46,500,0.9988436502603797,0,499,baseline_features_6,Baseline
47,499,0.8705381634306864,0,498,baseline_features_6,Baseline
48,498,0.872861810222084,0,497,baseline_features_6,Baseline
49,500,0.9342621507316202,0,499,baseline_features_6,Baseline
50,499,0.9360698892908085,0,498,baseline_features_6,Baseline
51,499,0.8006348386298276,0,498,baseline_features_6,Baseline
52,499,0.7613832825126063,1,499,baseline_features_6,Baseline
53,499,0.8349149964808276,0,498,baseline_features_6,Baseline
54,493,0.7776375211287536,4,496,baseline_features_6,Baseline
55,499,0.8898653347824638,1,499,baseline_features_6,Baseline
56,499,0.8820583139574752,1,499,baseline_features_6,Baseline
57,500,0.7927690838890588,0,499,baseline_features_6,Baseline
58,500,0.9002522644796443,0,499,baseline_features_6,Baseline
59,500,0.9304260468939656,0,499,baseline_features_6,Baseline
60,500,0.9688157189967417,0,499,baseline_features_6,Baseline
61,495,0.7673672122079438,4,498,baseline_features_6,Baseline
62,499,0.8569320158963801,0,498,baseline_features_6,Baseline
63,497,0.8482431193871516,0,496,baseline_features_6,Baseline
0,499,0.8243783732023572,1,499,baseline_features_2,Baseline
1,499,0.8459622425221365,1,499,baseline_features_2,Baseline
2,499,0.8854891593681394,0,498,baseline_features_2,Baseline
3,497,0.7930982023845268,0,496,baseline_features_2,Baseline
4,496,0.7040906623096118,1,496,baseline_features_2,Baseline
5,498,0.5050719020545624,0,497,baseline_features_2,Baseline
6,500,0.8005513026319945,0,499,baseline_features_2,Baseline
7,500,0.9983938040338248,0,499,baseline_features_2,Baseline
8,500,0.9678262698500149,0,499,baseline_features_2,Baseline
9,499,0.8957427529893914,0,498,baseline_features_2,Baseline
10,497,0.740905325754509,0,496,baseline_features_2,Baseline
11,499,0.7661018745959138,1,499,baseline_features_2,Baseline
12,496,0.7394191275855069,1,496,baseline_features_2,Baseline
13,500,0.8446215037424069,0,499,baseline_features_2,Baseline
14,500,0.993982906779118,0,499,baseline_features_2,Baseline
15,497,0.7463584477416496,0,496,baseline_features_2,Baseline
16,500,0.9834531195583337,0,499,baseline_features_2,Baseline
17,495,0.5629865241340684,4,498,baseline_features_2,Baseline
18,500,0.9096204795591583,0,499,baseline_features_2,Baseline
19,500,0.7592190078282542,0,499,baseline_features_2,Baseline
20,500,0.8997533767807836,0,499,baseline_features_2,Baseline
21,498,0.6620563509295997,0,497,baseline_features_2,Baseline
22,498,0.7959654274465161,0,497,baseline_features_2,Baseline
23,495,0.7117624421278318,2,496,baseline_features_2,Baseline
24,499,0.8169301019889808,1,499,baseline_features_2,Baseline
25,499,0.781087263832862,1,499,baseline_features_2,Baseline
26,500,0.9701614645741364,0,499,baseline_features_2,Baseline
27,499,0.7606418538203502,1,499,baseline_features_2,Baseline
28,500,0.9982606020384467,0,499,baseline_features_2,Baseline
29,500,0.9823447704355632,0,499,baseline_features_2,Baseline
30,485,0.6829883032593462,0,484,baseline_features_2,Baseline
31,500,0.6748689478052482,0,499,baseline_features_2,Baseline
