module,unit,knot_index,grad_norm
net.1,10,11,9.393795153300744e-06
net.1,10,12,1.639869424252538e-05
net.1,10,13,2.660673885657161e-05
net.1,10,14,7.0614570972793445e-06
net.1,10,15,9.660003627232072e-06
net.1,10,16,1.4238976762115385e-06
net.1,10,17,0.0
net.1,10,18,0.0
net.1,10,19,0.0
net.1,10,20,0.0
net.1,11,0,0.0
net.1,11,1,0.0
net.1,11,2,0.0
net.1,11,3,0.0
net.1,11,4,0.0
net.1,11,5,0.00014473674673354253
net.1,11,6,0.001149133502622135
net.1,11,7,0.0013658295501954854
net.1,11,8,0.0005245024876785465
net.1,11,9,0.0004140787714277394
net.1,11,10,1.0798637850584214e-06
net.1,11,11,0.0
net.1,11,12,0.0
net.1,11,13,0.0
net.1,11,14,0.0
net.1,11,15,0.0
net.1,11,16,0.0
net.1,11,17,0.0
net.1,11,18,0.0
net.1,11,19,0.0
net.1,11,20,0.0
net.1,12,0,3.247572158215917e-05
net.1,12,1,0.00018792677838064265
net.1,12,2,6.602330722671468e-05
net.1,12,3,1.5840661035326775e-05
net.1,12,4,1.776549174792308e-05
net.1,12,5,0.00012846751542383572
net.1,12,6,0.00022446351431426592
net.1,12,7,0.00032633209048071876
net.1,12,8,0.0003173393452016171
net.1,12,9,0.00017334371113975067
net.1,12,10,4.932173851557309e-05
net.1,12,11,3.592548273445573e-05
net.1,12,12,1.282915741285251e-05
net.1,12,13,3.2961547731247265e-05
net.1,12,14,9.939917674728349e-05
net.1,12,15,4.456556644072407e-05
net.1,12,16,1.3544386057162683e-08
net.1,12,17,0.0
net.1,12,18,0.0
net.1,12,19,0.0
net.1,12,20,0.0
net.1,13,0,0.0
net.1,13,1,0.0
net.1,13,2,0.0
net.1,13,3,0.0
net.1,13,4,0.0
net.1,13,5,0.0
net.1,13,6,0.0
net.1,13,7,0.0
net.1,13,8,0.0
net.1,13,9,1.141439895491203e-06
net.1,13,10,0.00010579606532701291
net.1,13,11,0.000350413905835012
net.1,13,12,4.1777601836656686e-05
net.1,13,13,4.4036194140062435e-05
net.1,13,14,0.0
net.1,13,15,0.0
net.1,13,16,0.0
net.1,13,17,0.0
net.1,13,18,0.0
net.1,13,19,0.0
net.1,13,20,0.0
net.1,14,0,0.0
net.1,14,1,0.0
net.1,14,2,0.0
net.1,14,3,0.0
net.1,14,4,0.0
net.1,14,5,0.0
net.1,14,6,0.0003323869786981959
net.1,14,7,0.0010306192125426605
net.1,14,8,0.000553892161406111
net.1,14,9,0.0003063350341108162
net.1,14,10,0.0002407143620075658
net.1,14,11,0.00018124191774404608
net.1,14,12,9.929888096849027e-05
net.1,14,13,9.744450835569296e-05
net.1,14,14,0.00022632546188106062
net.1,14,15,0.00014192015760272625
net.1,14,16,0.00035460147500998573
net.1,14,17,2.6111837048148345e-06
net.1,14,18,0.0
net.1,14,19,0.0
net.1,14,20,0.0
net.1,15,0,0.0
