unit,support_width,locality_index,left_boundary,right_boundary,module,model
52,800,0.936060934984997,0,799,kan_net_1,KAN
53,800,0.9505830348047556,0,799,kan_net_1,KAN
54,800,0.9097433094802237,0,799,kan_net_1,KAN
55,800,0.923263473675044,0,799,kan_net_1,KAN
56,800,0.9768439270063243,0,799,kan_net_1,KAN
57,800,0.9999999999999964,0,799,kan_net_1,KAN
58,800,0.9652993745725216,0,799,kan_net_1,KAN
59,800,0.9454161754297675,0,799,kan_net_1,KAN
60,800,0.9999999999999981,0,799,kan_net_1,KAN
61,800,0.9334907561708841,0,799,kan_net_1,KAN
62,800,0.9258928379405179,0,799,kan_net_1,KAN
63,591,0.9451284702446807,209,799,kan_net_1,KAN
0,800,0.8878054050759643,0,799,kan_net_3,KAN
1,635,0.9333213692147749,0,634,kan_net_3,KAN
2,800,0.9785722883156945,0,799,kan_net_3,KAN
3,800,0.9586385290270707,0,799,kan_net_3,KAN
4,380,0.8303738948760306,420,799,kan_net_3,KAN
5,800,0.9582367191550939,0,799,kan_net_3,KAN
6,800,0.9770860215002422,0,799,kan_net_3,KAN
7,704,0.9809386097305116,96,799,kan_net_3,KAN
8,800,0.9718311714448424,0,799,kan_net_3,KAN
9,714,0.9844292742465118,0,713,kan_net_3,KAN
10,470,0.8915610654299857,0,469,kan_net_3,KAN
11,800,0.9999999999999971,0,799,kan_net_3,KAN
12,800,0.9999999999999967,0,799,kan_net_3,KAN
13,800,0.9778493163956279,0,799,kan_net_3,KAN
14,800,0.9647691163161557,0,799,kan_net_3,KAN
15,800,0.8512891441179238,0,799,kan_net_3,KAN
16,800,0.9743968148387315,0,799,kan_net_3,KAN
17,800,0.9816993087560356,0,799,kan_net_3,KAN
18,764,0.9621004746086941,0,763,kan_net_3,KAN
19,450,0.8728100564568212,0,449,kan_net_3,KAN
20,800,0.9463322083588368,0,799,kan_net_3,KAN
21,800,0.907894209821114,0,799,kan_net_3,KAN
22,800,0.9730214268421628,0,799,kan_net_3,KAN
23,800,0.9999999999999956,0,799,kan_net_3,KAN
24,800,0.9427753772621839,0,799,kan_net_3,KAN
25,626,0.9482045123147282,0,625,kan_net_3,KAN
26,800,0.9660794784978242,0,799,kan_net_3,KAN
27,800,0.7625263095064695,0,799,kan_net_3,KAN
28,800,0.9720820166748526,0,799,kan_net_3,KAN
29,600,0.9430122740563829,200,799,kan_net_3,KAN
30,800,0.7103553685705548,0,799,kan_net_3,KAN
31,800,0.9504648154945601,0,799,kan_net_3,KAN
32,800,0.8840725580949066,0,799,kan_net_3,KAN
33,800,0.9548079335793059,0,799,kan_net_3,KAN
34,669,0.9601771603471091,131,799,kan_net_3,KAN
35,800,0.9502214190574049,0,799,kan_net_3,KAN
36,800,0.9999999999999978,0,799,kan_net_3,KAN
37,800,0.9379599508042686,0,799,kan_net_3,KAN
38,800,0.9089035367516053,0,799,kan_net_3,KAN
39,800,0.9778387273808057,0,799,kan_net_3,KAN
40,800,0.9499080987577807,0,799,kan_net_3,KAN
41,800,0.9659048483113437,0,799,kan_net_3,KAN
42,577,0.9254985829514638,0,576,kan_net_3,KAN
43,800,0.8650966954959004,0,799,kan_net_3,KAN
44,800,0.9589973827693241,0,799,kan_net_3,KAN
45,800,0.9669835367065522,0,799,kan_net_3,KAN
46,800,0.9599506998767687,0,799,kan_net_3,KAN
47,800,0.9805119804681574,0,799,kan_net_3,KAN
48,800,0.9476518660748037,0,799,kan_net_3,KAN
49,800,0.9642552402410518,0,799,kan_net_3,KAN
50,734,0.9788385147973923,66,799,kan_net_3,KAN
51,800,0.9612984546576193,0,799,kan_net_3,KAN
52,800,0.9999999999999982,0,799,kan_net_3,KAN
53,800,0.999999999999997,0,799,kan_net_3,KAN
54,800,0.9557425262907211,0,799,kan_net_3,KAN
55,800,0.9784701467983458,0,799,kan_net_3,KAN
56,800,0.9776536717446345,0,799,kan_net_3,KAN
57,800,0.9482012183579925,0,799,kan_net_3,KAN
58,800,0.9793169478173394,0,799,kan_net_3,KAN
59,800,0.9006865851751765,0,799,kan_net_3,KAN
60,800,0.9590809228549284,0,799,kan_net_3,KAN
61,800,0.8696671642649444,0,799,kan_net_3,KAN
62,800,0.9757654840694426,0,799,kan_net_3,KAN
63,800,0.9240228132333745,0,799,kan_net_3,KAN
0,800,0.7933789643430504,0,799,kan_net_5,KAN
1,800,0.9533587740358784,0,799,kan_net_5,KAN
2,739,0.9669855123112961,3,741,kan_net_5,KAN
3,800,0.9999999999999976,0,799,kan_net_5,KAN
4,800,0.9856240260105075,0,799,kan_net_5,KAN
5,800,0.9599725387195212,0,799,kan_net_5,KAN
6,800,0.8878151827293932,0,799,kan_net_5,KAN
7,800,0.9339701820644101,0,799,kan_net_5,KAN
8,800,0.980921054625624,0,799,kan_net_5,KAN
9,800,0.9835775327334149,0,799,kan_net_5,KAN
10,800,0.9840240703054409,0,799,kan_net_5,KAN
11,793,0.9432734079466569,0,792,kan_net_5,KAN
12,462,0.903980545634909,0,461,kan_net_5,KAN
13,800,0.8868067030476833,0,799,kan_net_5,KAN
14,800,0.959977955594328,0,799,kan_net_5,KAN
15,758,0.9573697050187583,42,799,kan_net_5,KAN
16,800,0.980036615846336,0,799,kan_net_5,KAN
17,800,0.9529342388703155,0,799,kan_net_5,KAN
18,768,0.9708074189036665,32,799,kan_net_5,KAN
19,800,0.8350892382413526,0,799,kan_net_5,KAN
20,800,0.7697386430686612,0,799,kan_net_5,KAN
21,800,0.9343148695250068,0,799,kan_net_5,KAN
22,800,0.9574090979855346,0,799,kan_net_5,KAN
23,800,0.9069882781796408,0,799,kan_net_5,KAN
24,800,0.9889415338908268,0,799,kan_net_5,KAN
25,800,0.972733553801193,0,799,kan_net_5,KAN
26,800,0.9802214501914608,0,799,kan_net_5,KAN
27,704,0.9356963665994522,0,703,kan_net_5,KAN
28,754,0.9372520448735182,0,753,kan_net_5,KAN
29,701,0.9251904851921382,99,799,kan_net_5,KAN
30,800,0.9547133359693838,0,799,kan_net_5,KAN
31,800,0.8595008449225546,0,799,kan_net_5,KAN
0,556,0.9676057942107231,195,750,baseline_net_5,Baseline
1,0,0.0,-1,-1,baseline_net_5,Baseline
2,0,0.0,-1,-1,baseline_net_5,Baseline
3,535,0.9558388010571585,26,560,baseline_net_5,Baseline
4,800,0.9705775442445159,0,799,baseline_net_5,Baseline
5,613,0.9817382465398967,0,612,baseline_net_5,Baseline
6,586,0.9681142920793214,196,781,baseline_net_5,Baseline
7,590,0.9749573347154559,204,793,baseline_net_5,Baseline
8,495,0.9495324877359861,0,494,baseline_net_5,Baseline
9,596,0.9766628206391109,0,595,baseline_net_5,Baseline
10,0,0.0,-1,-1,baseline_net_5,Baseline
11,569,0.969655669463485,231,799,baseline_net_5,Baseline
12,800,0.9434656798079342,0,799,baseline_net_5,Baseline
13,800,0.9999999999999973,0,799,baseline_net_5,Baseline
14,0,0.0,-1,-1,baseline_net_5,Baseline
15,0,0.0,-1,-1,baseline_net_5,Baseline
16,791,0.9473398001681433,0,790,baseline_net_5,Baseline
17,82,0.9602595528605168,718,799,baseline_net_5,Baseline
18,0,0.0,-1,-1,baseline_net_5,Baseline
19,744,0.9398418201801014,0,743,baseline_net_5,Baseline
20,560,0.9657369076237906,216,775,baseline_net_5,Baseline
21,0,0.0,-1,-1,baseline_net_5,Baseline
